"","MSFT.Adjusted","AAPL.Adjusted","AMZN.Adjusted","GOOG.Adjusted","BRK.B.Adjusted","JPM.Adjusted","JNJ.Adjusted","WMT.Adjusted","XOM.Adjusted","V.Adjusted","PG.Adjusted","BAC.Adjusted","MA.Adjusted","T.Adjusted","HD.Adjusted","VZ.Adjusted","DIS.Adjusted","CVX.Adjusted","INTC.Adjusted","KO.Adjusted","UNH.Adjusted","WFC.Adjusted","BA.Adjusted","CSCO.Adjusted","CMCSA.Adjusted","MRK.Adjusted","PFE.Adjusted","PEP.Adjusted","ORCL.Adjusted","C.Adjusted"
"333",18.335686,19.886784,86.489998,222.525925,62.549999,29.571747,45.098404,37.953178,51.705067,13.716165,40.453289,11.289325,17.515043,14.484732,19.782232,18.041662,23.025146,46.715267,14.001087,16.456312,23.491686,18.007597,32.359612,17.06214,5.989426,21.539328,11.182112,41.34272,19.627926,25.19408
"334",18.069836,19.900452,84.239998,221.569504,62.66,29.735518,44.922443,37.976444,52.034088,13.899619,40.409847,11.812731,17.860676,14.644096,19.657223,17.755285,22.912535,47.001991,14.080636,16.509655,23.749647,18.583046,32.260349,17.030949,6.150523,21.386415,11.277108,41.291416,19.320269,24.824928
"335",18.351324,19.888027,84.980003,219.103745,62.700001,29.696539,44.665821,37.937664,51.418968,13.514369,40.359119,12.038339,17.653866,14.524579,19.836918,17.984388,22.843233,46.653835,14.008318,16.466314,25.005066,18.813223,33.031719,17.101128,6.150523,20.865135,10.876776,41.020245,19.548807,27.408934
"336",18.609346,19.891754,84.339996,217.305481,62.419998,29.454781,44.841789,38.286659,51.089958,13.612207,40.656147,12.200776,17.805912,14.769309,19.836918,18.316589,22.427429,45.820965,14.030014,16.429646,24.428944,18.705809,33.12336,16.937372,6.026601,20.760876,10.686786,41.284084,19.34664,29.716085
"337",18.617172,20.234823,86.089996,221.98793,63.66,30.000668,45.303699,38.759712,50.582142,13.699858,40.735836,12.606864,18.330971,14.991271,20.196318,18.505598,22.713295,46.216911,13.979389,16.559664,24.162384,19.081764,33.024094,17.140125,6.20422,20.809534,10.815706,41.48196,19.460917,28.977798
"338",18.390421,20.309401,85.760002,220.697769,63.610001,30.141039,44.643829,38.682163,50.346111,13.343143,40.21423,13.346852,18.323421,14.92867,20.266628,18.368132,21.76041,47.425251,13.921531,16.616344,24.127983,18.767187,32.772053,17.163515,6.138131,20.858187,10.808925,41.591888,19.452122,29.254656
"339",18.632814,20.687271,87.440002,225.260666,65.400002,30.881897,44.797813,38.65115,50.532078,14.087147,40.286678,13.825135,18.949532,14.92867,20.563528,18.345226,22.106913,48.060135,14.008318,16.536324,23.526083,19.795315,33.44413,17.60021,6.249657,20.865135,10.883562,41.188808,19.601553,29.346943
"340",18.585894,20.577888,85.800003,226.017822,65.989998,31.357607,44.768475,38.658894,50.496319,14.085108,40.178009,14.113913,19.179953,14.951435,20.540087,18.247856,22.210867,48.066971,13.972162,16.502981,23.156334,20.37076,33.726723,17.498829,6.361185,20.74003,10.903919,43.284885,19.241169,29.992941
"341",18.617172,20.523195,84.290001,224.727661,69.040001,32.581951,44.321232,38.154816,50.088631,13.938349,39.055103,15.034389,19.168621,14.644096,20.571335,17.909933,21.890352,47.643707,13.739045,16.392967,22.511431,21.539194,33.950329,17.28828,6.220743,20.580175,10.876505,42.79385,18.845619,33.038383
"342",18.343504,20.374035,84.470001,224.339127,70.349998,31.778725,43.939964,37.984211,49.87405,13.993384,37.280212,15.070488,19.026968,14.541652,20.735409,17.73238,21.976974,47.275063,13.62249,16.466314,22.339455,21.500763,35.099232,17.397453,6.216613,20.406408,10.821673,42.383419,18.64345,35.068684
